winner,loser,white_pieces,black_pieces,moves,evaluations,material_advantage,move_count
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g8f6, d1a4, b8c6, a4a6, b7a6, e1d1, d7d5, g1f3, f6g4, c4d5, g4f2, d1c2, c6b4, c2b3, d8d5, b3a3, b4c2, a3a4, c8d7","[-0.0041, -0.0087, -0.0077, -0.0879, -0.087, -0.0916, -0.0933, -0.0991, -0.0992, -0.1098, -0.1093, -0.9995, -0.9996, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, -9, -9, -9, -9, -9, -8, -9, -9, -9, -9, -10, -10, -10, -10, -10",19
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"b7b6, g1f3, d8d7, d3d4, d7d8, f1b5, c7c6, b5d3, f8b4, c2c3, g7g5, c3b4, g8e7, c1g5, e8f8, b1c3, a7a6, e1g1, c8b7, d1d2, f8g8, g5h6, e7g6, d2e3, d8g5, f3g5, a6a5, e3f3, a5b4, f3f7","[0.0143, 0.0157, 0.02, 0.0207, 0.0282, 0.0281, 0.0277, 0.0279, 0.0298, 0.0317, 0.065, 0.0641, 0.0733, 0.0724, 0.0811, 0.0802, 0.0866, 0.0847, 0.0846, 0.0841, 0.0896, 0.0866, 0.0864, 0.0866, 0.155, 0.9991, 0.9996, 0.9997, 0.9999, 1.0]","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 14, 14, 13, 14",30
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g1f3, d4f3, d1f3, e7e6, h1g1, c7c5, g2g3, b8c6, e4e5, c6e5, d2d3, e5f3, e1e2, f3g1, e2e1, g1f3, e1d1, d8f6, c2c3, f3h2, f2f4, h2f1, g3g4, f6g6, b2b4, g6d3, c1d2, f1e3, d1e1, d3f1","[-0.0059, -0.0365, -0.0386, -0.0375, -0.0567, -0.0524, -0.0577, -0.0568, -0.0703, -0.0684, -0.1285, -0.13, -0.1338, -0.1351, -0.134, -0.1356, -0.136, -0.137, -0.1387, -0.1396, -0.1573, -0.1622, -0.1691, -0.1814, -0.9993, -0.9994, -0.9998, -0.9999, -0.9999, -1.0]","-3, -6, -3, -3, -3, -3, -3, -3, -3, -4, -4, -13, -13, -18, -18, -18, -18, -18, -18, -19, -19, -22, -22, -22, -22, -23, -23, -23, -23, -23",30
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"c7c6, e2e4, g8f6, e4e5, e7e6, e5f6, f8c5, f6g7, c5f2, e1f2, d8g5, g7h8q, g5g8, h8g8, e8e7, d1h5, h7h6, g8f7, e7d6, f7f4, d6e7, h5f7, e7d8, f7f8","[-0.0006, -0.0021, 0.0056, 0.0045, 0.037, 0.0378, 0.0615, 0.0592, 0.0715, 0.0681, 0.2063, 0.2134, 0.3077, 0.9995, 0.9995, 0.9996, 0.9996, 0.9997, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 0, 0, 0, 3, 3, 4, 3, 6, 6, 19, 19, 28, 28, 28, 28, 29, 29, 29, 29, 29, 29, 29",24
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"h2h4, e7e5, d1e2, d4e2, d2d4, e2d4, f2f3, d4c2, e1d2, c2a1, f1a6, b8a6, h1h2, d7d5, h2h3, d5e4, d2e3, f8c5, e3e4, d8d4","[-0.0021, 0.0109, -0.0765, -0.0752, -0.1098, -0.1043, -0.1349, -0.1363, -0.1363, -0.1381, -0.1674, -0.1709, -0.1878, -0.1918, -0.2288, -0.9992, -0.9997, -0.9998, -0.9999, -1.0]","-3, -3, -3, -12, -12, -13, -13, -14, -14, -19, -19, -22, -22, -22, -22, -23, -23, -23, -22, -22",20
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"d8f6, g1f3, f6f5, e4f5, h7h6, f5e6, f7f5, d4d5, g7g5, f3d4, b8c6, d1h5, e8e7, h5f7, e7d8, f7f8","[0.0105, 0.0105, 0.0786, 0.0775, 0.0814, 0.079, 0.0989, 0.0989, 0.1074, 0.1106, 0.1283, 0.1294, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 0, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 13",16
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g1f3, d7d5, b2b3, d5e4, d2d4, e4f3, d4d5, d8f6, b1c3, f6c3, c1d2, c3e5, d2e3, f8b4, d1d2, e5a1","[0.0011, 0.0021, -0.0161, -0.0167, -0.0474, -0.0515, -0.0618, -0.0636, -0.1005, -0.1015, -0.1039, -0.1034, -0.1346, -0.1356, -0.9999, -1.0]","0, 0, 0, -1, -1, -4, -4, -4, -4, -7, -7, -7, -7, -7, -7, -12",16
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"b7b5, c1e3, c8a6, d3d4, h7h6, b1d2, f8c5, d4c5, g8e7, a2a4, e7c8, a4b5, b8c6, a1a6, c6e5, d1h5, e8f8, h5e5, a8b8, f1c4, g7g5, e5h8, f8e7, a6e6, f7e6, h8g7, e7e8, g7g8, e8d7, g8e6","[0.0169, 0.0186, 0.0211, 0.0199, 0.0252, 0.0219, 0.0659, 0.0653, 0.0659, 0.0639, 0.0782, 0.0747, 0.082, 0.0847, 0.087, 0.0879, 0.1098, 0.1129, 0.1174, 0.1221, 0.9994, 0.9995, 0.9995, 0.9996, 0.9996, 0.9997, 0.9997, 0.9998, 0.9999, 1.0]","1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 5, 5, 8, 8, 8, 8, 11, 11, 11, 11, 16, 16, 17, 12, 12, 12, 12, 12, 13",30
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"c2c3, b8c6, f1a6, b7a6, d2d3, a6a5, d1c2, d4c2, e1e2, d7d5, a2a4, d5e4, c1e3, d8d3","[0.0034, 0.0071, -0.0225, -0.0503, -0.05, -0.05, -0.1504, -0.1484, -0.1515, -0.1499, -0.1905, -0.2056, -0.9999, -1.0]","-3, -3, -3, -6, -6, -6, -6, -15, -15, -15, -15, -16, -16, -17",14
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"f8d6, b1c3, g8e7, a2a3, d6a3, b2a3, f7f6, d2d4, e8f7, d4e5, b7b6, e5f6, c8b7, f6e7, h7h6, e7d8r, b7c8, d1d5, f7g6, d5e4, g6f6, c3d5, f6f7, e4f5","[-0.0008, -0.0005, 0.002, 0.0017, 0.0417, 0.0385, 0.0448, 0.0442, 0.0528, 0.0512, 0.0643, 0.0639, 0.0802, 0.0794, 0.121, 0.123, 0.2306, 0.9994, 0.9995, 0.9996, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 0, 0, -1, 2, 2, 2, 2, 3, 3, 4, 4, 7, 7, 20, 20, 20, 20, 20, 20, 20, 20, 20",24
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"b2b4, f8b4, f2f3, g8e7, e1f2, c7c5, f2e3, b4a5, f3f4, e8g8, c1a3, d7d5, a3b4, c5b4, g2g3, d5e4, d1c1, e6e5, f1a6, d8d4, e3e2, a5b6, d2d3, c8g4, e2d2, d4e3","[-0.0096, -0.0084, -0.0184, -0.018, -0.0294, -0.0296, -0.0396, -0.0395, -0.0453, -0.043, -0.048, -0.0477, -0.0829, -0.085, -0.0948, -0.0953, -0.1019, -0.1021, -0.1331, -0.1358, -0.134, -0.1385, -0.9997, -0.9998, -0.9999, -1.0]","0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -4, -4, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5, -5",26
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"g8h6, c1b2, c7c5, b2e5, d8c7, e5c7, h6g4, e2e4, b8a6, f1a6, g4f6, d1f3, h8g8, e4e5, h7h6, e5f6, g7g6, f3e4, f8e7, e4e7","[-0.0032, -0.0019, 0.0038, 0.0024, 0.0752, 0.0766, 0.0839, 0.0852, 0.0989, 0.1021, 0.1092, 0.1105, 0.1233, 0.1276, 0.9993, 0.9994, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 0, 1, 1, 10, 10, 10, 10, 13, 13, 13, 13, 13, 13, 16, 16, 16, 16, 19",20
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g8f6, e2e4, f6e4, a2a4, f8c5, g2g4, e4f2, d2d3, f2d1, g1e2, d1f2, g4g5, f2d3, e1d1, d7d5, b1a3, b8c6, h1g1, d5c4, g1g4, d3f2, d1c2, d8d3","[-0.0044, -0.0176, -0.0175, -0.0389, -0.0403, -0.067, -0.0668, -0.0875, -0.0893, -0.1115, -0.1153, -0.1321, -0.1326, -0.1303, -0.1321, -0.1413, -0.1445, -0.1461, -0.1514, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, -1, -1, -1, -1, -2, -2, -11, -11, -11, -11, -12, -12, -12, -12, -12, -12, -13, -13, -13, -13, -13",23
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e4d5, d8d5, g1f3, g8h6, b1c3, e7e6, c3d5, c8d7, d5c7, e8e7, d2d4, d7c8, d4d5, g7g5, d5d6, e7f6, d1d2, h6g8, d2g5","[0.0008, 0.0011, 0.001, 0.0132, 0.0128, 0.0656, 0.0657, 0.1042, 0.1025, 0.1102, 0.1112, 0.1244, 0.125, 0.9995, 0.9996, 0.9996, 0.9997, 0.9999, 1.0]","1, 0, 0, 0, 0, 0, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10",19
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g8f6, b1a3, b8c6, f2f4, e5f4, d2d4, f6e4, a1b1, f8b4, c1d2, d8h4, g2g3, f4g3, d1c2, g3g2, e1d1, g2f1q, d2e1, f1e1","[-0.0044, -0.0134, -0.0134, -0.0244, -0.0262, -0.0505, -0.0549, -0.0808, -0.0838, -0.0847, -0.0863, -0.0862, -0.0875, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -2, -2, -2, -2, -13, -13, -16",19
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"h7h6, f1d3, e6e5, g1f3, e5d4, f3d4, f8e7, e1g1, h8h7, e4e5, e8f8, e5d6, d8e8, d6e7, e8e7, f1e1, b8d7, e1e7, b7b5, e7e1, g8f6, d3h7, c7c5, d1e2, h6h5, e2e7","[0.0052, 0.0066, 0.007, 0.0069, 0.0075, 0.0078, 0.0078, 0.0088, 0.0192, 0.0192, 0.0555, 0.0555, 0.0733, 0.0744, 0.0757, 0.0742, 0.0911, 0.0907, 0.1308, 0.1331, 0.1351, 0.1349, 0.1864, 0.9995, 0.9999, 1.0]","0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 1, 4, 3, 3, 3, 12, 12, 12, 12, 17, 17, 17, 17, 17",26
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"f2f3, a7a6, f3f4, d5e4, g1f3, e4f3, c2c4, b8c6, b2b3, d8d4, d1c2, f3f2, e1e2, c8g4","[-0.0094, -0.0079, -0.0174, -0.0168, -0.0587, -0.0551, -0.0674, -0.0674, -0.072, -0.0733, -0.123, -0.1258, -0.9999, -1.0]","0, 0, 0, -1, -1, -4, -4, -4, -4, -4, -4, -4, -4, -4",14
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e8e7, d2d4, a7a5, d4e5, e7e8, e5f6, c7c6, g1f3, d8c7, f6g7, d7d5, g7h8q, f7f5, e4d5, c6c5, d1e2, c8e6, c1g5, b7b5, e2e6, c7e7, e6e7","[0.0143, 0.0127, 0.0468, 0.0498, 0.0602, 0.0592, 0.064, 0.0643, 0.0682, 0.0671, 0.1481, 0.152, 0.1908, 0.2055, 0.9989, 0.9994, 0.9994, 0.9995, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 0, 1, 1, 4, 4, 4, 4, 5, 5, 18, 18, 19, 19, 19, 19, 19, 19, 22, 22, 31",22
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g1e2, d7d5, a2a4, d5e4, e2d4, d8d4, h1g1, b8c6, a1a2, f8c5, f1d3, d4f2","[-0.0026, -0.0004, -0.008, -0.0084, -0.0523, -0.0528, -0.0616, -0.061, -0.0723, -0.0697, -0.9999, -1.0]","0, 0, 0, -1, -1, -4, -4, -4, -4, -4, -4, -5",12
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"g1f3, d7d5, e4d5, f7f5, f3e5, c7c6, d1h5, g7g6, e5g6, h7h6, g6e5, e8e7, h5f7, e7d6, e5c4, d6c5, b1c3, c5b4, a2a3, b4c5, d2d4, c5d4, c1e3","[0.0039, 0.009, 0.0089, 0.0244, 0.024, 0.0407, 0.0418, 0.0433, 0.0416, 0.999, 0.9991, 0.9991, 0.9993, 0.9993, 0.9994, 0.9994, 0.9995, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2",23
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"a2a3, d5d4, b2b4, e7e5, b1c3, d4c3, d1b3, c3d2, c1d2, g8f6, b4b5, f8d6, b3b2, e8g8, d2f4, e5f4, e2e4, f4e3, b2b4, d6b4, e1e2, d8d2, e2f3, d2f2","[-0.0013, -0.0028, -0.0061, -0.0062, -0.0437, -0.042, -0.0471, -0.0445, -0.0452, -0.0448, -0.0617, -0.0608, -0.0626, -0.0619, -0.0834, -0.0836, -0.0899, -0.0875, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, 0, -3, -3, -4, -3, -3, -3, -3, -3, -3, -3, -6, -6, -7, -7, -16, -16, -16, -16, -17",24
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"d8e7, b1c3, e7c5, g1f3, c5c4, e2e4, d7d6, f1c4, e8d7, d2d4, d7c6, d1a4, b7b5, a4b5","[0.0039, 0.0023, 0.0089, 0.0079, 0.0174, 0.0159, 0.0834, 0.0868, 0.0948, 0.0916, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 0, 0, -1, -1, -1, 8, 8, 8, 8, 8, 8, 9",14
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g8f6, g1h3, b8c6, h3g1, d7d5, a2a4, d5c4, g2g3, c6d4, e2e3, d4b3, f1g2, b3a1, d1g4, a1c2, e1f1, c8g4, g2e4, f6e4, f1g2, d8d3, h2h4, c2e1, g2h2, d3f1, a4a5, f1f2","[-0.0041, -0.0128, -0.0125, -0.0124, -0.0145, -0.0312, -0.0328, -0.0421, -0.0412, -0.0424, -0.0443, -0.071, -0.0685, -0.1239, -0.1244, -0.1262, -0.1259, -0.1581, -0.1768, -0.9995, -0.9996, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -6, -6, -6, -6, -15, -15, -18, -18, -18, -18, -18, -18, -18, -18, -19",27
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"c4d5, g7g5, e2e4, e8d7, d2d4, a7a6, b1c3, a8a7, c1g5, f7f5, g1f3, b7b5, f3e5, d7e8, d1h5","[0.008, 0.0197, 0.0187, 0.0429, 0.0416, 0.0487, 0.0449, 0.0577, 0.0549, 0.0708, 0.0727, 0.1321, 0.1732, 0.9999, 1.0]","1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2",15
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"d1e2, c7c5, a2a3, b8c6, f2f3, d7d5, g2g3, e6e5, e2f2, c6d4, d2d3, d8a5, b1d2, d4c2, e1e2, c2a1, e2e1, g8f6, f2c5, a5c5, g3g4, c5c1, e1e2, a1c2, h2h3, c1e1","[-0.0007, 0.0, -0.0027, -0.0019, -0.01, -0.0107, -0.0124, -0.01, -0.016, -0.016, -0.0144, -0.0163, -0.0661, -0.063, -0.0618, -0.0642, -0.0723, -0.0721, -0.1308, -0.1356, -0.1746, -0.999, -0.9992, -0.9994, -0.9999, -1.0]","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -6, -6, -6, -5, -14, -14, -17, -17, -17, -17, -17",26
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"g8e7, g1f3, e6e5, f3e5, d8d4, e5c4, a7a6, c2c3, d4c4, d3c4, c7c5, f1e2, g7g6, e1g1, h7h6, f2f4, b7b5, c4b5, c8h3, g2h3, f8g7, d1d6, e8g8, d6e7, g8h8, e7b7, a8a7, b7a7, f8e8, a7f7, e8e7, f7e7, b8c6, b5c6, a6a5, c6c7, g7d4, c3d4, g6g5, c7c8q","[0.0203, 0.0191, 0.0324, 0.0293, 0.0396, 0.0357, 0.0411, 0.0408, 0.0623, 0.0627, 0.0664, 0.0659, 0.0665, 0.0676, 0.0702, 0.0696, 0.0775, 0.0806, 0.1048, 0.1062, 0.1066, 0.1074, 0.1112, 0.1121, 0.1253, 0.1253, 0.1418, 0.1454, 0.1569, 0.1636, 0.1796, 0.4902, 0.9994, 0.9996, 0.9996, 0.9997, 0.9998, 0.9999, 0.9999, 1.0]","1, 1, 1, 2, 2, 2, 2, 2, -1, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 12, 12, 12, 12, 15, 15, 15, 15, 20, 20, 21, 21, 26, 26, 29, 29, 29, 29, 32, 32, 40",40
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g8f6, e2e3, d7d5, f2f4, e5f4, c4d5, f6d5, g2g4, d8h4, e1e2, c8g4, g1f3, b8c6, a2a3, g4f3, e2d3, f3d1, b1c3, d5b4, d3e4, f4e3, e4e3, h4d4","[-0.0027, -0.0024, -0.0032, -0.0214, -0.0203, -0.0218, -0.0224, -0.0659, -0.0672, -0.0687, -0.0692, -0.0689, -0.0714, -0.1045, -0.108, -0.9994, -0.9995, -0.9995, -0.9996, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, -1, 0, -1, -1, -1, -1, -2, -2, -2, -2, -5, -5, -14, -14, -14, -14, -15, -14, -14",23
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e4d5, g8f6, g1f3, h8g8, c2c4, a7a6, d2d4, b7b6, f1e2, c8f5, e1g1, g7g6, f1e1, d8d5, c4d5, f5b1, d1a4, b8c6, a4c6, f6d7, c6a8, d7b8, a8b8, e8d7, f3e5, d7d6, b8d8","[0.008, 0.0075, 0.008, 0.0188, 0.0191, 0.0303, 0.0322, 0.0387, 0.0394, 0.0415, 0.044, 0.045, 0.0453, 0.0843, 0.0879, 0.0925, 0.0978, 0.9995, 0.9996, 0.9996, 0.9997, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 9, 6, 6, 6, 9, 9, 14, 14, 17, 17, 17, 17, 17",27
